"max","facilityname","concatenatedaddress","inspectionstatus"
"2015-12-23 00:00:00","ISLAND GRILL","979 BUNKER HILL STE N HOUSTON TX 77024","PASS"
"2016-01-07 00:00:00","MCDONALDS","10703 WESTHEIMER RD HOUSTON TX 77042","PASS"
"2016-03-03 00:00:00","HOLLISTER SHELL","13300 NORTHWEST  FWY HOUSTON TX 77040","FAIL"
"2016-03-08 00:00:00","SUPER 8 MOTEL","7010 WILL CLAYTON PKWY HUMBLE TX 77338","PASS"
"2015-12-11 00:00:00","POPEYE'S","8331 BROADWAY HOUSTON TX 77061","PASS"
"2016-03-14 00:00:00","STAR STOP 66","3003 ELLA BLVD HOUSTON TX 77018","PASS"
"2016-02-20 00:00:00","EL HURACAN BALLROOM","137 W DYNA HOUSTON TX 77037","PASS"
"2016-04-27 00:00:00","FONDREN MIDDLE SCHOOL","6333 S BRAESWOOD HOUSTON TX 77096","PASS"
"2016-04-13 00:00:00","SOUTHERN MAID DONUTS","6449 RICHMOND AVE HOUSTON TX 77057","PASS"
"2015-12-01 00:00:00","AWTY INTERNATIONAL SCHOOL","7455 AWTY SCHOOL LN HOUSTON TX 77055","PASS"
"2015-11-18 00:00:00","GOLDEN CAFE  CHINESE RESTAURANT","1430 W 19TH HOUSTON TX 77008","FAIL"
"2016-05-23 00:00:00","SWEET PARIS","797 SORELLA  CT STE 100 HOUSTON TX 77024","PASS"
"2015-08-14 00:00:00","THE RIGHT STEP","819 W ALABAMA HOUSTON TX 77006","PASS"
"2016-02-16 00:00:00","TAQUERIA TACAMBARO-MI JALISCO","2520 AIRLINE DR HOUSTON TX 77009","PASS"
"2015-07-17 00:00:00","H&H RANCH","4000 GREENS RD HOUSTON TX 77032","PASS"
"2015-11-10 00:00:00","GUMBO JEAUX'S","2155 DURHAM DR HOUSTON TX 77007","FAIL"
"2016-04-11 00:00:00","FENG LING RESTAURANT","11010 WESTHEIMER STE A HOUSTON TX 77042","FAIL"
"2016-06-23 00:00:00","FUDDRUCKERS","11950 KURLAND HOUSTON TX 77034","PASS"
"2015-07-21 00:00:00","WALGREENS #4538","1180 CLEAR LAKE CITY BLVD HOUSTON TX 77062","PASS"
"2016-06-13 00:00:00","PIZZA HUT # 27146","1225 WESTHEIMER RD HOUSTON TX 77006","PASS"
"2016-01-21 00:00:00","FAMILY DOLLAR # 1540","2617 FULTON HOUSTON TX 77009","PASS"
"2015-11-17 00:00:00","CHINA ONE #3","306 W LITTLE YORK HOUSTON TX 77076","PASS"
